,Offset.Project Operator,Project.Name,Project Type,tot,Project Owner ,Website,City,State
1,3Degrees,Clean Fuel Partners Dane,Livestock,17208,3Degrees,https://3degreesinc.com/,Dane,WI
2,3Degrees,Greenwood Dairy Anaerobic,Livestock,15735,3Degrees,https://3degreesinc.com/,Canton,NY
3,3Degrees,Homestead Green Energy,Livestock,23745,3Degrees,https://3degreesinc.com/,Plymouth,IN
4,3Degrees,Kettle Butte Digester,Livestock,43886,3Degrees,https://3degreesinc.com/,Idaho Falls,ID
5,3Degrees,Port of Tillamook Bay Regional,Livestock,20133,3Degrees,https://3degreesinc.com/,Tillamook,OR
6,3Degrees,Scenic View Dairy Methane,Livestock,72805,3Degrees,https://3degreesinc.com/,Fennville ,MI
7,A-Gas,Coolgas 2015-3,Ozone Depleting Substances,108622,A-Gas,https://www.agas.com/,Bowling Green,OH
8,A-Gas,Coolgas 2016-1,Ozone Depleting Substances,145594,A-Gas,https://www.agas.com/,Bowling Green,OH
9,A-Gas,Coolgas 2016-3,Ozone Depleting Substances,133239,A-Gas,https://www.agas.com/,Bowling Green,OH
10,A-Gas,Coolgas 2016-4,Ozone Depleting Substances,96564,A-Gas,https://www.agas.com/,Bowling Green,OH
11,A-Gas,Coolgas 2017-5,Ozone Depleting Substances,50793,A-Gas,https://www.agas.com/,Bowling Green,OH
12,A-Gas,Coolgas 2017-7,Ozone Depleting Substances,33184,A-Gas,https://www.agas.com/,Bowling Green,OH
13,A-Gas,Coolgas 2018-6,Ozone Depleting Substances,60855,A-Gas,https://www.agas.com/,Bowling Green,OH
14,A-Gas,Coolgas 2019-2,Ozone Depleting Substances,113564,A-Gas,https://www.agas.com/,Bowling Green,OH
15,A-Gas,Coolgas ODS 2013 Project #1,Ozone Depleting Substances,108627,A-Gas,https://www.agas.com/,Bowling Green,OH
16,A-Gas,Coolgas US ODS Project 1,Ozone Depleting Substances,197988,A-Gas,https://www.agas.com/,Bowling Green,OH
17,A-Gas,Coolgas US ODS Project 2,Ozone Depleting Substances,163884,A-Gas,https://www.agas.com/,Bowling Green,OH
18,A-Gas,DPC Domestic ODS,Ozone Depleting Substances,1116126,A-Gas,https://www.agas.com/,El Dorado,AR
19,A-Gas,PCS Domestic ODS,Ozone Depleting Substances,401525,A-Gas,https://www.agas.com/,El Dorado,AR
20,A-Gas,Pure Chem Domestic ODS,Ozone Depleting Substances,346815,A-Gas,https://www.agas.com/,El Dorado,AR
21,ABEC Bidart-Old,CalBio ORRD Project,Livestock,119545,CalBio,https://calbioenergy.com/,Bakersfield,CA
22,Ag Power Llc,Double A Dairy,Livestock,169854,Camco International,https://www.camco.energy/,Jerome ,ID
23,Ag Power Llc,The Dry Creek Dairy Biofactory,Livestock,148516,Camco International,https://www.camco.energy/,Hansen,ID
24,"Ahtna, Incorporated",Finite Carbon – Ahtna Native,U.S. Forest,12502637,Finite Carbon,https://www.finitecarbon.com/,Glennallen,AK
25,Alliance Dairies,Alliance Dairy,Livestock,57087,Alliance Dairies,https://www.alliancedairies.com/,Trenton ,Florida
26,AMC Maine,Finite Carbon – AMC Silver,U.S. Forest,139152,Finite Carbon,https://www.finitecarbon.com/,Greenville,ME
27,Aurora Ridge Dairy,Aurora Ridge,Livestock,42642,Ag Methane Advisors,http://www.agmethaneadvisors.com/,Aurora,NY
28,Aurora Ridge Dairy,Aurora Ridge Dairy,Livestock,50933,Ag Methane Advisors,http://www.agmethaneadvisors.com/,Aurora,NY
29,Bascom Pacific,McCloud River,U.S. Forest,214660,Blue Source,http://www.bluesource.com/,Castella,CA
30,Bewley Ranches,Bewley Ranches,U.S. Forest,662883,Bewley Ranches,,Mendocino,CA
31,Big Sky Dairy,Big Sky Dairy,Livestock,114253,Bonneville Environmental Foundation,http://www.b-e-f.org/,Jerome ,ID
32,Biothermica Coal Carbon Inc.,Vamox® Demonstration Project,Mine Methane,80766,Biothermica,http://www.biothermica.com/,Brookwood,AL
33,Blue Mountain Biogas.,Blue Mountain Biogas,Livestock,192269,Blue Mountain Biogas,,Cedar City,UT
34,Blue Source,Blue Source – Allegheny,U.S. Forest,1711529,Blue Source,http://www.bluesource.com/,Horner,WV
35,Blue Source,Blue Source – Francis Beidler,U.S. Forest,450908,Blue Source,http://www.bluesource.com/,Harleyville ,SC
36,Blue Source,Blue Source – Goodman,U.S. Forest,731728,Blue Source,http://www.bluesource.com/,Goodman,WI
37,Blue Source,Blue Source – Great Mountain,U.S. Forest,293972,Blue Source,http://www.bluesource.com/,Norfolk ,CT
