"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"14","CAOD5442-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas 2019:2",113564,113564,0.00%,"2019","CCO-8","Compliance",2027-01-07,2019-01-07,2019-05-07,"ACR442"
"13","CAOD5443-A","Ozone Depleting Substances","Reclamation","A:Gas 2019:3",114871,114871,0.00%,"2019","CCO-8","Compliance",2027-01-21,2019-01-21,2019-06-25,"ACR443"
"12","CAOD5461-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 19",85284,85284,0.00%,"2019","CCO-8","Compliance",2027-01-30,2019-01-30,2019-04-23,"ACR461"
"11","CAMM5367-C","Mine Methane","North Fork Energy,","Elk Creek Permit Area",114279,114279,0.00%,"2019","CCO-8","Compliance",2027-01-31,2019-01-31,2019-08-13,"ACR367"
"10","CAMM5407-A","Mine Methane","ECC Windsor, Inc.","BMMC1",36759,36759,0.00%,"2019","CCO-8","Compliance",2027-01-31,2019-01-31,2019-07-09,"ACR407"
"9","CAOD5445-A","Ozone Depleting Substances","Hudson Technologies","Hudson Tech 2019:1",54157,54157,0.00%,"2019","CCO-8","Compliance",2027-02-15,2019-02-15,2019-05-07,"ACR445"
"8","CAOD6327-A","Ozone Depleting Substances","Perfect Score Too,","Perfect Cycle ODS:4",65097,65097,0.00%,"2019","CCO-8","Compliance",2027-02-23,2019-02-23,2019-06-25,"CAR1327"
"7","CAOD5468-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 20",83032,83032,0.00%,"2019","CCO-8","Compliance",2027-02-27,2019-02-27,2019-05-21,"ACR468"
"6","CAOD5471-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 21",35887,35887,0.00%,"2019","CCO-8","Compliance",2027-03-18,2019-03-18,2019-06-25,"ACR471"
"5","CALS5020-F","Livestock","WTE Deer Run, LLC","Deer Run Digester",10483,10483,0.00%,"2019","CCO-8","Compliance",2027-03-31,2019-03-31,2019-08-27,"CAR982"
"4","CALS5021-F","Livestock","WTE Dairyland, LLC","Dairyland Digester",30811,30811,0.00%,"2019","CCO-8","Compliance",2027-03-31,2019-03-31,2019-09-10,"CAR969"
"3","CAOD5472-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 22",83594,83594,0.00%,"2019","CCO-8","Compliance",2027-04-02,2019-04-02,2019-07-23,"ACR472"
"2","CAOD5469-A","Ozone Depleting Substances","Hudson Technologies","Hudson Tech 2019:2",44551,44551,0.00%,"2019","CCO-8","Compliance",2027-04-22,2019-04-22,2019-07-23,"ACR469"
"1","CAOD5482-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 23",101230,101230,0.00%,"2019","CCO-8","Compliance",2027-05-12,2019-05-12,2019-07-23,"ACR482"
"116","CAFR5313-B","U.S. Forest","MWF Adirondacks,"," MWF",21450,21450,0.00%,"2018","CCO-8","Compliance",2026-01-02,2018-01-02,2019-02-26,"CAR1213"
"115","CAOD5380-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2018:2",119844,56993,52.44%,"2018","CCO-8","Compliance",2026-01-02,2018-01-02,2018-05-08,"CAR1290"
"114","CAOD5401-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 10",137262,0,100.00%,"2018","CCO-3","Compliance",2021-01-13,2018-01-13,2018-04-24,"ACR401"
"113","CAOD5330-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 25",71572,1118,98.44%,"2018","CCO-3","Compliance",2021-01-26,2018-01-26,2018-09-11,"CAR1280"
"112","CAMM5367-B","Mine Methane","North Fork Energy,","Elk Creek Permit Area",189550,189550,0.00%,"2018","CCO-3","Compliance",2021-01-31,2018-01-31,2018-06-26,"ACR367"
"111","CALS5025-E","Livestock","Ideal Family Farms,","Ideal Family Farms Digester",3715,3715,0.00%,"2018","CCO-8","Compliance",2026-01-31,2018-01-31,2019-03-26,"CAR1002"
