,Offset Project Operator,Project Name,Project Type,State,tot,Project.Owner,Website,City,State2
164,"EOS Climate, Inc.",2014-P4,ODS,AR,71825,Blue Source,http://www.bluesource.com/,El Dorado,AR
35,"California Bioenergy, LLC",ABEC New Hope LLC,Livestock,CA,4978,California Bioenergy,https://calbioenergy.com/,Galt,CA
12,"Adirondack Farms, LLC",Adirondack Farms,Livestock,NY,6955,,,,
309,"Reclamation Technologies, Inc.",A-Gas 2018-3,ODS,OH,97831,A Gas,https://www.agas.com/,Bowling Green,OH
310,"Reclamation Technologies, Inc.",A-Gas 2018-4,ODS,OH,110290,A Gas,https://www.agas.com/,Bowling Green,OH
311,"Reclamation Technologies, Inc.",A-Gas 2018-5,ODS,OH,102700,A Gas,https://www.agas.com/,Bowling Green,OH
312,"Reclamation Technologies, Inc.",A-Gas 2018-7,ODS,OH,159218,A Gas,https://www.agas.com/,Bowling Green,OH
313,"Reclamation Technologies, Inc.",A-Gas 2018-8,ODS,OH,128012,A Gas,https://www.agas.com/,Bowling Green,OH
314,"Reclamation Technologies, Inc.",A-Gas 2018-9,ODS,OH,93703,A Gas,https://www.agas.com/,Bowling Green,OH
315,"Reclamation Technologies, Inc.",A-Gas 2019-1,ODS,OH,138241,A Gas,https://www.agas.com/,Bowling Green,OH
316,"Reclamation Technologies, Inc.",A-Gas 2019-3,ODS,OH,114871,A Gas,https://www.agas.com/,Bowling Green,OH
317,"Reclamation Technologies, Inc.",A-Gas 2019-4,ODS,OH,88307,A Gas,https://www.agas.com/,Bowling Green,OH
318,"Reclamation Technologies, Inc.",A-GAS Americas 2015-1,ODS,OH,134418,A Gas,https://www.agas.com/,Bowling Green,OH
319,"Reclamation Technologies, Inc.",A-Gas Americas 2016-2,ODS,OH,181190,A Gas,https://www.agas.com/,Bowling Green,OH
320,"Reclamation Technologies, Inc.",A-Gas Americas 2017-1,ODS,OH,141207,A Gas,https://www.agas.com/,Bowling Green,OH
338,"Reclamation Technologies, Inc. dba A-Gas Americas",A-Gas Americas 2017-2,ODS,OH,140916,A Gas,https://www.agas.com/,Bowling Green,OH
321,"Reclamation Technologies, Inc.",A-Gas Americas 2017-3,ODS,OH,140698,A Gas,https://www.agas.com/,Bowling Green,OH
322,"Reclamation Technologies, Inc.",A-Gas Americas 2017-4,ODS,OH,122128,A Gas,https://www.agas.com/,Bowling Green,OH
323,"Reclamation Technologies, Inc.",A-Gas Americas 2017-6,ODS,OH,55404,A Gas,https://www.agas.com/,Bowling Green,OH
324,"Reclamation Technologies, Inc.",A-Gas Americas 2017-8,ODS,OH,223464,A Gas,https://www.agas.com/,Bowling Green,OH
325,"Reclamation Technologies, Inc.",A-Gas Americas 2018-1,ODS,OH,154972,A Gas,https://www.agas.com/,Bowling Green,OH
326,"Reclamation Technologies, Inc.",A-Gas Americas 2018-2,ODS,OH,119844,A Gas,https://www.agas.com/,Bowling Green,OH
327,"Reclamation Technologies, Inc.",A-Gas O'Hare,ODS,OH,111348,A Gas,https://www.agas.com/,Bowling Green,OH
328,"Reclamation Technologies, Inc.",A-GAS RemTec 2013-1,ODS,OH,93055,A Gas,https://www.agas.com/,Bowling Green,OH
329,"Reclamation Technologies, Inc.",A-GAS RemTec 2013-4,ODS,AR,191960,A Gas,https://www.agas.com/,El Dorado,AR
330,"Reclamation Technologies, Inc.",A-GAS RemTec 2013-5,ODS,OH,129099,A Gas,https://www.agas.com/,Bowling Green,OH
331,"Reclamation Technologies, Inc.",A-GAS RemTec 2014-1,ODS,OH,129838,A Gas,https://www.agas.com/,Bowling Green,OH
332,"Reclamation Technologies, Inc.",A-GAS RemTec 2014-2,ODS,OH,107744,A Gas,https://www.agas.com/,Bowling Green,OH
333,"Reclamation Technologies, Inc.",A-GAS RemTec 2014-3,ODS,OH,148331,A Gas,https://www.agas.com/,Bowling Green,OH
334,"Reclamation Technologies, Inc.",A-GAS RemTec 2015-2,ODS,OH,135577,A Gas,https://www.agas.com/,Bowling Green,OH
272,Northeast Wilderness Trust,Alder Stream Preserve,Forest,ME,36596,Northeast Wilderness Trust,www.newildernesstrust.org/wild-carbon/mitigation/,Piscataquis,ME
38,"Camco International Group, Inc.",Alliance Dairies,Livestock,FL,9092,Camco International,https://www.camco.energy/,Trenton ,FL
18,Alliance Dairies,Alliance Dairy,Livestock,FL,57087,Alliance Dairies,https://www.alliancedairies.com/,Trenton ,FL
