,Offset.Project.Operator,Project.Name,Project Type,tot,Project Owner,Website
125,"EOS Climate, Inc.",2014-P4,Ozone Depleting Substances,71825,Blue Source,http://www.bluesource.com/
25,"California Bioenergy,",ABEC New Hope LLC,Livestock,4978,California Bioenergy,https://calbioenergy.com/
247,Reclamation,A-Gas 2018-3,Ozone Depleting Substances,97831,A Gas,https://www.agas.com/
248,Reclamation,A-Gas 2018-4,Ozone Depleting Substances,110290,A Gas,https://www.agas.com/
249,Reclamation,A-Gas 2018-5,Ozone Depleting Substances,102700,A Gas,https://www.agas.com/
250,Reclamation,A-Gas 2018-7,Ozone Depleting Substances,159218,A Gas,https://www.agas.com/
251,Reclamation,A-Gas 2018-8,Ozone Depleting Substances,128012,A Gas,https://www.agas.com/
252,Reclamation,A-Gas 2018-9,Ozone Depleting Substances,93703,A Gas,https://www.agas.com/
253,Reclamation,A-Gas 2019-1,Ozone Depleting Substances,138241,A Gas,https://www.agas.com/
254,Reclamation,A-Gas 2019-3,Ozone Depleting Substances,114871,A Gas,https://www.agas.com/
255,Reclamation,A-GAS Americas 2015-1,Ozone Depleting Substances,134418,A Gas,https://www.agas.com/
256,Reclamation,A-GAS Americas 2015-2,Ozone Depleting Substances,135577,A Gas,https://www.agas.com/
257,Reclamation,A-Gas Americas 2016-2,Ozone Depleting Substances,181190,A Gas,https://www.agas.com/
258,Reclamation,A-Gas Americas 2017-1,Ozone Depleting Substances,141207,A Gas,https://www.agas.com/
259,Reclamation,A-Gas Americas 2017-2,Ozone Depleting Substances,140916,A Gas,https://www.agas.com/
260,Reclamation,A-Gas Americas 2017-3,Ozone Depleting Substances,140698,A Gas,https://www.agas.com/
261,Reclamation,A-Gas Americas 2017-4,Ozone Depleting Substances,122128,A Gas,https://www.agas.com/
262,Reclamation,A-Gas Americas 2017-6,Ozone Depleting Substances,55404,A Gas,https://www.agas.com/
263,Reclamation,A-Gas Americas 2017-8,Ozone Depleting Substances,223464,A Gas,https://www.agas.com/
264,Reclamation,A-Gas Americas 2018-1,Ozone Depleting Substances,154972,A Gas,https://www.agas.com/
265,Reclamation,A-Gas Americas 2018-2,Ozone Depleting Substances,119844,A Gas,https://www.agas.com/
266,Reclamation,A-Gas O’Hare,Ozone Depleting Substances,111348,A Gas,https://www.agas.com/
267,Reclamation,A-GAS RemTec 2013-1,Ozone Depleting Substances,93055,A Gas,https://www.agas.com/
268,Reclamation,A-GAS RemTec 2013-4,Ozone Depleting Substances,191960,A Gas,https://www.agas.com/
269,Reclamation,A-GAS RemTec 2013-5,Ozone Depleting Substances,129099,A Gas,https://www.agas.com/
270,Reclamation,A-GAS RemTec 2014-1,Ozone Depleting Substances,129838,A Gas,https://www.agas.com/
271,Reclamation,A-GAS RemTec 2014-2,Ozone Depleting Substances,107744,A Gas,https://www.agas.com/
272,Reclamation,A-GAS RemTec 2014-3,Ozone Depleting Substances,148331,A Gas,https://www.agas.com/
222,Northeast Wilderness,Alder Stream Preserve,U.S. Forest,29566,Northeast Wilderness Trust,www.newildernesstrust.org/wild-carbon/mitigation/
28,Camco International,Alliance Dairies,Livestock,9092,Camco International,https://www.camco.energy/
11,Alliance Dairies,Alliance Dairy,Livestock,57087,Alliance Dairies,https://www.alliancedairies.com/
218,Nisqually Land Trust,Ashford III,U.S. Forest,37875,Washington Environmental Council,https://wecprotects.org/
14,"Aurora Ridge Dairy,",Aurora Ridge,Livestock,42642,Ag Methane Advisors,http://www.agmethaneadvisors.com/
15,"Aurora Ridge Dairy,",Aurora Ridge Dairy,Livestock,50933,Ag Methane Advisors,http://www.agmethaneadvisors.com/
344,"Wabashco, LLC",Baker Mine AMM,Mine Methane,2236,"Wabashco, Inc",0
284,Ross Bewley,Bewley Ranches,U.S. Forest,662883,Bewley Ranches,0
304,The Conservation,Big River / Salmon Creek,U.S. Forest,986407,The Conservation Fund,https://www.conservationfund.org/
100,"DF-AP#1, LLC",Big Sky Dairy,Livestock,114253,Bonneville Environmental Foundation,http://www.b-e-f.org/
354,Western Rivers,Blue Creek,U.S. Forest,690603,Bonneville Environmental Foundation,http://www.westernrivers.org/projectatlas/blue-creek/
20,"Blue Mountain Biogas,",Blue Mountain Biogas,Livestock,192269,Blue Mountain Biogas,0
10,Allegheny Rural,Blue Source – Allegheny,U.S. Forest,1711529,Blue Source,http://www.bluesource.com/
203,Mattamuskeet,Blue Source – Alligator River,U.S. Forest,477935,Blue Source,http://www.bluesource.com/
175,Heartwood Forestland,Blue Source – Bishop Improved,U.S. Forest,2514594,Blue Source,http://www.bluesource.com/
215,National Audubon,Blue Source – Francis Beidler,U.S. Forest,450908,Blue Source,http://www.bluesource.com/
168,"Goodman Forest, LLC",Blue Source – Goodman,U.S. Forest,729879,Blue Source,http://www.bluesource.com/
169,Great Mountain Forest,Blue Source – Great Mountain,U.S. Forest,293972,Blue Source,http://www.bluesource.com/
176,Heartwood Forestland,Blue Source – Lonesome Pine,U.S. Forest,447124,Blue Source,http://www.bluesource.com/
177,Heartwood Forestland,Blue Source – Marmet,U.S. Forest,823265,Blue Source,http://www.bluesource.com/
208,Michael A. Noles,Blue Source – Noles North,U.S. Forest,28946,Blue Source,http://www.bluesource.com/
209,Michael A. Noles,Blue Source – Noles South,U.S. Forest,27566,Blue Source,http://www.bluesource.com/
224,"Northwoods ATP, LP",Blue Source – Northwoods,U.S. Forest,325415,Blue Source,http://www.bluesource.com/
22,Brinkley Melvin,Blue Source – Pocosin Lakes,U.S. Forest,185878,Blue Source,http://www.bluesource.com/
243,Quercus West,Blue Source – Powellton,U.S. Forest,1251198,Blue Source,http://www.bluesource.com/
98,David Dicktel,Blue Source – Pungo River,U.S. Forest,86679,Blue Source,http://www.bluesource.com/
360,Wisconsin Northern,Blue Source – Wisconsin,U.S. Forest,305122,Blue Source,http://www.bluesource.com/
361,"Wolf River ATP, LP",Blue Source – Wolf River,U.S. Forest,495906,Blue Source,http://www.bluesource.com/
165,Global Carbon,Bluesource GCS Bear Canyon,Mine Methane,59904,Blue Source,http://www.bluesource.com/
103,"ECC Windsor, Inc.",BMMC1,Mine Methane,36759,Blue Source,http://www.bluesource.com/
108,Environmental Credit,Bos Dairy,Livestock,4077,ClimeCo,https://climeco.com/
21,"Bridgewater Dairy,",Bridgewater Dairy LLC,Livestock,45459,Bridgewater Dairy,http://www.bridgewaterdairy.com/
23,"Brook View Dairy, LLC",Brook View Dairy Methane,Livestock,78937,Brook View Dairy,https://brookviewdairy.com/
106,Edward Miller Trust,Brush Creek,U.S. Forest,71587,Edward Miller Trust,0
70,"Coastal Forestlands,",Brushy Mountain,U.S. Forest,1458494,Coastal Forestlands,0
289,Sierra Pacific,Buck Mountain ARB002,U.S. Forest,244181,Sierra Pacific Industries,https://www.spi-ind.com/
299,Sustainable,Buckeye Forest Project,U.S. Forest,595681,The Conservation Fund,https://www.conservationfund.org/projects/buckeye-forest
6,ABEC Bidart-Old,CalBio ORRD Project,Livestock,119545,California Bioenergy,https://calbioenergy.com/
341,Vessels Cambria 33,Cambria 33 Abandoned Mine,Mine Methane,22118,Vessels Coal Inc,vesselscoalgas.com/
342,"Vessels Coal Gas, Inc.",Cambria 33 Abandoned Mine,Mine Methane,107064,Vessels Coal Inc,vesselscoalgas.com/
73,Compatible Lands,Camp Shelby Forest Carbon,U.S. Forest,18683,Eco Partners,https://www.epcarbon.com/
26,California Timberlands,Cappell Creek Improved Forest,U.S. Forest,302769,California Timberlands,0
46,"Central Sands Dairy,","Central Sands Dairy, LLC",Livestock,61789,California Timberlands,0
1,"3Degrees Group, Inc.",Clean Fuel Partners Dane,Livestock,17208,3Degrees,https://3degreesinc.com/
47,ClimeCo Corporation,ClimeCo ODS Destruction 16,Ozone Depleting Substances,245946,ClimeCo,https://climeco.com/
48,ClimeCo Corporation,ClimeCo ODS Destruction 18,Ozone Depleting Substances,226896,ClimeCo,https://climeco.com/
49,ClimeCo Corporation,ClimeCo ODS Destruction 20,Ozone Depleting Substances,72606,ClimeCo,https://climeco.com/
50,ClimeCo Corporation,ClimeCo ODS Destruction 21,Ozone Depleting Substances,140452,ClimeCo,https://climeco.com/
51,ClimeCo Corporation,ClimeCo ODS Destruction 22,Ozone Depleting Substances,53956,ClimeCo,https://climeco.com/
52,ClimeCo Corporation,ClimeCo ODS Destruction 23,Ozone Depleting Substances,44681,ClimeCo,https://climeco.com/
53,ClimeCo Corporation,ClimeCo ODS Destruction 24,Ozone Depleting Substances,56727,ClimeCo,https://climeco.com/
54,ClimeCo Corporation,ClimeCo ODS Destruction 25,Ozone Depleting Substances,71572,ClimeCo,https://climeco.com/
55,ClimeCo Corporation,ClimeCo ODS Destruction 26,Ozone Depleting Substances,123703,ClimeCo,https://climeco.com/
56,ClimeCo Corporation,ClimeCo ODS Destruction 27,Ozone Depleting Substances,50473,ClimeCo,https://climeco.com/
57,ClimeCo Corporation,ClimeCo ODS Destruction 28,Ozone Depleting Substances,58745,ClimeCo,https://climeco.com/
58,ClimeCo Corporation,ClimeCo ODS Destruction 29,Ozone Depleting Substances,97696,ClimeCo,https://climeco.com/
59,ClimeCo Corporation,ClimeCo ODS Destruction 30,Ozone Depleting Substances,140146,ClimeCo,https://climeco.com/
60,ClimeCo Corporation,ClimeCo ODS Destruction 31,Ozone Depleting Substances,56139,ClimeCo,https://climeco.com/
233,"Peabody Natural Gas,",Coal Mine Methane Capture,Mine Methane,1072724,Peabody Natural Gas,https://www.peabodyenergy.com/
76,"Congaree River, LLC,",Congaree River,U.S. Forest,94711,Congaree River,0
78,"Coolgas, Inc.",Coolgas 2015-3,Ozone Depleting Substances,108622,A-Gas,https://www.agas.com/
79,"Coolgas, Inc.",Coolgas 2016-1,Ozone Depleting Substances,145594,A-Gas,https://www.agas.com/
80,"Coolgas, Inc.",Coolgas 2016-3,Ozone Depleting Substances,133239,A-Gas,https://www.agas.com/
81,"Coolgas, Inc.",Coolgas 2016-4,Ozone Depleting Substances,96564,A-Gas,https://www.agas.com/
82,"Coolgas, Inc.",Coolgas 2017-5,Ozone Depleting Substances,50793,A-Gas,https://www.agas.com/
83,"Coolgas, Inc.",Coolgas 2017-7,Ozone Depleting Substances,33184,A-Gas,https://www.agas.com/
84,"Coolgas, Inc.",Coolgas 2018-6,Ozone Depleting Substances,60855,A-Gas,https://www.agas.com/
85,"Coolgas, Inc.",Coolgas 2019-2,Ozone Depleting Substances,113564,A-Gas,https://www.agas.com/
