"","CityState","lat","lon","n"
"1","0 , 0",NA,NA,1
"2","Allendale , SC",33.0079345,-81.3084405,1
"3","Alma Center , WI",44.4371839,-90.911258,1
"4","Asheville , NC",35.5950581,-82.5514869,2
"5","Ashford , WA",46.7584413,-122.0309408,1
"6","Atlanta , GA",33.7489954,-84.3879824,1
"7","Auburn , NY",42.9317335,-76.5660529,3
"8","Aurora , NY",42.7539591,-76.7024485,2
"9","Avon  , NY",42.9120072,-77.7455583,1
"10","Bakersfield , CA",35.3732921,-119.0187125,1
"11","Beavertown , PA",40.7536912,-77.1694299,1
"12","Bellingham  , WA",48.7519112,-122.4786854,2
"13","Berea , KY",37.568694,-84.2963223,3
"14","Bladenboro , NC",34.5387799,-78.7875209,2
"15","Boardman , OR",45.839855,-119.7005834,1
"16","Bowling Green , OH",41.3747744,-83.6513229,80
"17","Brookwood , AL",33.2556719,-87.3208336,1
"18","Buckeye , AZ",33.3703197,-112.5837766,3
"19","Cameron  , WV",39.8270237,-80.566467,1
"20","Campbell , TN",36.3817326,-84.1857115,1
"21","Canandaigua , NY",42.887535,-77.2816984,1
"22","Canton , NY",44.5956163,-75.1690942,1
"23","Castella , CA",41.1384854,-122.3177877,1
"24","Castile , NY",42.678396,-77.9967043,2
"25","Cedar City , UT",37.6774769,-113.0618931,1
"26","Chapel Hill , NC",35.9131996,-79.0558445,1
"27","Charleston , SC",32.7764749,-79.9310512,2
"28","Chatham , VA",36.8256943,-79.3980806,2
"29","Chattanooga , TN",35.0456297,-85.3096801,1
"30","Chilton , WI",44.0288803,-88.1628785,3
"31","Circleville , OH",39.600618,-82.9460133,1
"32","Clean Harbors , AR",33.2054332,-92.6315743,1
"33","Columbia , PA",40.0337085,-76.5044098,1
"34","Concord , NH",43.2081366,-71.5375718,1
"35","Covington , NY",42.8533945,-78.0102868,2
"36","Crescent City , CA",41.7557501,-124.2025913,1
"37","Crestview , FL",30.7541808,-86.5727995,1
"38","Creswell , NC",35.8704415,-76.3921553,1
"39","Dane , WI",43.2505472,-89.5015088,1
"40","East Carbon , UT",39.5382923,-110.4321671,1
"41","East Liverpool , OH",40.6186756,-80.5772928,12
"42","Ebenburg , PA",40.4850717,-78.7247426,2
"43","El Dorado , AR",33.20763,-92.6662674,48
"44","Eureka , CA",40.8020712,-124.1636729,6
"45","Fair Oaks , IN",41.0750361,-87.2575283,7
"46","Fair Oaks , Indiana",41.0750361,-87.2575283,1
"47","Fennville  , MI",42.5939168,-86.1017009,2
"48","Fernwood , CA",40.8691699,-123.84944,1
"49","Floral Park , NY",40.7237133,-73.7048532,1
"50","Franklin , NY",42.3406373,-75.1651689,1
"51","Freeport , MI",42.7661449,-85.3133439,1
"52","Fresno  , CA",36.7377981,-119.7871247,1
"53","Galt , CA",38.2546373,-121.2999485,1
"54","Garden City , SC",33.5929472,-79.0086464,1
"55","Glen Easton , WV",39.8334111,-80.6481377,2
"56","Glennallen , AK",62.1097214,-145.5573019,1
"57","Goodman , WI",45.6307027,-88.3535655,1
"58","Grand Lake Stream , ME",45.1795158,-67.7744458,1
"59","Grayling , MI",44.6614039,-84.7147512,1
"60","Green Bay , WI",44.5133188,-88.0132958,3
"61","Green River , WY",41.5285757,-109.4662461,2
"62","Greenville , ME",45.4594863,-69.5905814,1
"63","Hampton , AR",33.537892,-92.4698762,1
"64","Hancock , MN",45.4966667,-95.7966667,2
"65","Hanford , CA",36.3274502,-119.6456844,1
"66","Hansen , ID",42.5296532,-114.301121,2
"67","Harleyville  , SC",33.2146069,-80.4478745,1
"68","Hattiesburg , MS",31.3271189,-89.2903392,1
"69","Haviland , OH",41.0189378,-84.580787,1
"70","Hayward  , WI",46.0130065,-91.4846208,2
"71","Hilmar , CA",37.4040942,-120.8504738,1
"72","Horner , WV",39.0006516,-80.3825877,1
"73","Idaho Falls , ID",43.4926607,-112.0407584,1
"74","Jerome  , ID",42.7240732,-114.5186534,3
"75","Juneau , AK",58.3019444,-134.4197221,1
"76","Kewaunee , WI",44.4583321,-87.5031397,6
"77","King Ferry , New York",42.6653487,-76.6166113,1
"78","King Ferry , NY",42.6653487,-76.6166113,2
"79","Klamath Falls , OR",42.224867,-121.7816704,1
"80","Krakow , WI",44.761662,-88.2514908,2
"81","Lagrange , GA",33.0362218,-85.0322444,1
"82","Lancaster , NH",44.4889204,-71.5692477,2
"83","Le Sueur , MN",44.4598517,-93.9113634,1
"84","Lebanon , VA",36.900942,-82.0801309,1
"85","Logan , WV",37.8487147,-81.9934581,1
"86","Lukens Island , NC",34.9707172,-76.5740943,1
"87","Lynden , WA",48.9428018,-122.4529469,3
"88","Madison  , WI",43.0730517,-89.4012302,1
"89","Magnolia , NC",34.8965563,-78.0541545,2
"90","Manitowoc , WI",44.0886059,-87.657584,2
"91","Maricopa , AZ",33.0581063,-112.0476423,1
"92","Marquette , MI",46.5436199,-87.3953713,1
"93","Martin , SD",43.1724984,-101.7326485,2
"94","Mendocino , CA",39.3076744,-123.7994591,17
"95","Mettah , CA",41.31028,-123.87083,1
"96","Milan , MO",40.2022408,-93.125209,1
"97","Modesto , CA",37.6390972,-120.9968782,1
"98","Montpelier , OH",41.5844951,-84.6055076,1
"99","Napa , CA",38.2975381,-122.286865,1
"100","Nekoosa  , WI",44.3124644,-89.9042937,1
"101","Nespelem , WA",48.1671004,-118.9747476,1
"102","Newton , WI",43.9937427,-87.7263327,1
"103","Norfolk  , CT",41.9939828,-73.2020577,1
"104","Oakfield , NY",43.0658926,-78.2697419,1
"105","Ocracoke , NC",35.1146152,-75.9810097,1
"106","Ogdenburg , NY",44.6942291,-75.4863364,1
"107","Orleans  , MI",43.090575,-85.1271907,2
"108","Penobscot , ME",44.4645202,-68.7111394,1
"109","Pickett , WI",43.9115928,-88.7289492,1
"110","Pikeville  , WV",37.4792672,-82.5187629,1
"111","Piscataquis , ME",45.7049857,-69.3375071,1
"112","Pixley , CA",35.9685648,-119.2917785,1
"113","Plainfield , NH",43.5489556,-72.2600655,2
"114","Plymouth , IN",41.3436554,-86.3097278,1
"115","Plymouth , NC",35.8668281,-76.7485555,1
"116","Point Arena , CA",38.908798,-123.6930726,1
"117","Redding , CA",40.5865396,-122.3916754,1
"118","Rensselaer , IN",40.9367045,-87.1508562,1
"119","Rensselaer , Indiana",40.9367045,-87.1508562,1
"120","Rochester , NY",43.1565779,-77.6088465,1
"121","Sacramento , CA",38.5815719,-121.4943996,1
"122","Scipio Center , NY",42.7835381,-76.558914,3
"123","Shakopee , TN",44.7973962,-93.5272861,2
"124","Shannondale , MO",37.3900456,-91.4376398,1
"125","Somerset , CO",38.9261928,-107.4698928,3
"126","Somerset , ME",45.5913402,-69.9999212,2
"127","Sonoma , CA",38.291859,-122.4580356,1
"128","South Wayne , WI",42.5688955,-89.8798448,2
"129","Stewarts Point , CA",38.6524433,-123.3988916,1
"130","Sun Prairie , WI",43.1836046,-89.2137254,2
"131","Tazewell , VA",37.1148374,-81.5195548,1
"132","Thompsonville , IL",37.9175489,-88.7622836,1
"133","Tillamook , OR",45.4562158,-123.8440137,1
"134","Trenton  , FL",29.6132942,-82.8176203,1
"135","Trenton  , Florida",29.6132942,-82.8176203,1
"136","Tulare  , CA",36.2077288,-119.3473379,2
"137","Tupper Lake , NY",44.2239488,-74.4640575,1
"138","Twin Falls , ID",42.5558381,-114.4700518,1
"139","Warm Springs , OR",44.7634519,-121.2661625,1
"140","Warrensburg , NY",43.4967351,-73.7762313,1
"141","Warsaw , NY",42.740061,-78.1327881,1
"142","Weaverville , CA",40.7309778,-122.9419708,1
"143","White , SD",44.4346879,-96.6497736,1
"144","White River , AZ",33.8369944,-109.9642664,1
"145","Willow Creek  , CA",40.9395774,-123.6314412,2
"146","Wilsonville , KY",38.1272884,-85.4068997,1
"147","Wise , Virginia",36.9759345,-82.5757108,1
"148","Worcester , MA",42.2625932,-71.8022934,1
"149","Yakima , WA",46.6020711,-120.5058987,1
"150","Yreka , CA",41.7354186,-122.6344709,1
